"","Type","Primary alcohol by volume","Served","Standard garnish","Standard drinkware","IBA specifiedingredients","Preparation","Timing","Commonly used ingredients","cocktailName","ingredientList"
"89","Mixed drink","rum","On the rocks; poured over ice","pineapple or orange quarter slice, maraschino cherry","Hurricane glass",NA,"Combine all ingredients with ice, stir or shake, then pour into a hurricane glass with the ice. For garnish score pineapple or orange slice with a knife and insert onto rim of glass; optionally use toothpick or cocktail umbrella to spear maraschino cherry through center and attach to top of fruit slice; otherwise float cherry on top of ice!",NA,"3 cl Sour mix","Blue Hawaii","sour mix"
"90","Mixed drink","curacao","On the rocks; poured over ice","pineapple or orange quarter slice, maraschino cherry","Hurricane glass",NA,"Combine all ingredients with ice, stir or shake, then pour into a hurricane glass with the ice. For garnish score pineapple or orange slice with a knife and insert onto rim of glass; optionally use toothpick or cocktail umbrella to spear maraschino cherry through center and attach to top of fruit slice; otherwise float cherry on top of ice!",NA,"3 cl Sour mix","Blue Hawaii","sour mix"
"91","Mixed drink","vodka","On the rocks; poured over ice","lemon slice or Garnish the brim with an orange slice","Highball glass",NA,"pour vodka and blue curacao in a shaker with ice, shake well & strain into ice filled highball glass, top with lemonade, garnish and serve.",NA,"50 ml Vodka","Blue Lagoon","vodka"
"92","Mixed drink","vodka","On the rocks; poured over ice","lemon slice or Garnish the brim with an orange slice","Highball glass",NA,"pour vodka and blue curacao in a shaker with ice, shake well & strain into ice filled highball glass, top with lemonade, garnish and serve.",NA,"20 ml Blue Curacao","Blue Lagoon","blue curacao"
"93","Mixed drink","vodka","On the rocks; poured over ice","lemon slice or Garnish the brim with an orange slice","Highball glass",NA,"pour vodka and blue curacao in a shaker with ice, shake well & strain into ice filled highball glass, top with lemonade, garnish and serve.",NA,"100 ml Lemonade","Blue Lagoon","lemonade"
"94","Mixed drink","vodka","On the rocks; poured over ice","lemon slice or Garnish the brim with an orange slice","Highball glass",NA,"pour vodka and blue curacao in a shaker with ice, shake well & strain into ice filled highball glass, top with lemonade, garnish and serve.",NA,"1 orange slice.","Blue Lagoon","orange"
"95","Mixed drink","vodka","On the rocks; poured over ice","lemon slice or Garnish the brim with an orange slice","Highball glass",NA,"pour vodka and blue curacao in a shaker with ice, shake well & strain into ice filled highball glass, top with lemonade, garnish and serve.",NA,"Ice cubes","Blue Lagoon","ice"
"96","Cocktail","whiskey","On the rocks; poured over ice","Orange peel or cherry","Old Fashioned glass",NA,"Stir with ice, strain, garnish and serve.",NA,"30 ml (1 part) or 45 ml (1.5 parts) bourbon","Boulevardier","whiskey"
"97","Cocktail","vermouth","On the rocks; poured over ice","Orange peel or cherry","Old Fashioned glass",NA,"Stir with ice, strain, garnish and serve.",NA,"30 ml (1 part) or 45 ml (1.5 parts) bourbon","Boulevardier","whiskey"
"98","Cocktail","campari","On the rocks; poured over ice","Orange peel or cherry","Old Fashioned glass",NA,"Stir with ice, strain, garnish and serve.",NA,"30 ml (1 part) or 45 ml (1.5 parts) bourbon","Boulevardier","whiskey"
"99","Cocktail","whiskey","On the rocks; poured over ice","Orange peel or cherry","Old Fashioned glass",NA,"Stir with ice, strain, garnish and serve.",NA,"30 ml (1 part) sweet red vermouth","Boulevardier","vermouth"
"100","Cocktail","vermouth","On the rocks; poured over ice","Orange peel or cherry","Old Fashioned glass",NA,"Stir with ice, strain, garnish and serve.",NA,"30 ml (1 part) sweet red vermouth","Boulevardier","vermouth"
"101","Cocktail","campari","On the rocks; poured over ice","Orange peel or cherry","Old Fashioned glass",NA,"Stir with ice, strain, garnish and serve.",NA,"30 ml (1 part) sweet red vermouth","Boulevardier","vermouth"
"102","Cocktail","whiskey","On the rocks; poured over ice","Orange peel or cherry","Old Fashioned glass",NA,"Stir with ice, strain, garnish and serve.",NA,"30 ml (1 part) campari","Boulevardier","campari"
"103","Cocktail","vermouth","On the rocks; poured over ice","Orange peel or cherry","Old Fashioned glass",NA,"Stir with ice, strain, garnish and serve.",NA,"30 ml (1 part) campari","Boulevardier","campari"
